cod_titulo,cod_musica
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
1,14
1,15
1,16
2,17
2,18
2,19
2,20
2,21
2,22
2,23
2,24
2,25
2,26
2,27
2,28
2,29
2,30
2,31
2,32
2,33
3,34
3,35
3,36
3,37
3,38
3,39
3,40
3,41
3,42
3,43
3,44
3,45
5,46
5,47
5,48
5,49
5,50
5,51
5,52
5,53
5,54
5,55
5,56
5,57
5,58
5,59
5,60
5,61
6,62
6,63
6,64
6,65
6,66
6,67
6,68
6,69
6,70
6,71
7,72
7,73
7,74
7,75
7,76
7,77
7,78
7,79
7,80
7,81
7,82
7,83
7,84
7,85
7,86
7,87
8,88
8,89
8,90
8,91
8,92
8,93
8,94
8,95
8,96
8,97
8,98
8,99
8,100
8,101
9,102
9,103
9,104
9,105
9,106
9,107
9,108
9,109
9,110
9,111
9,112
9,113
9,114
9,115
9,116
9,117
10,118
10,119
10,120
10,121
10,122
10,123
10,124
10,125
10,126
10,127
10,128
10,129
10,130
10,131
10,132
10,133
10,134
10,135
12,136
12,137
12,138
12,139
12,140
12,141
12,142
12,143
12,144
12,145
12,146
12,147
13,148
13,149
13,150
13,151
13,152
13,153
13,154
13,155
13,156
13,157
13,158
13,159
13,160
13,161
13,162
13,163
14,164
14,165
14,166
14,167
14,168
14,169
14,170
14,171
14,172
14,173
14,174
14,175
15,176
15,177
15,178
15,179
15,180
15,181
15,182
15,183
15,184
15,185
15,186
15,187
16,188
16,189
16,190
16,191
16,192
16,193
16,194
16,195
16,196
16,197
17,198
17,199
17,200
17,201
17,202
17,203
17,204
17,205
17,206
17,207
18,208
18,209
18,210
18,211
18,212
18,213
18,214
18,215
18,216
18,217
18,218
18,219
18,220
18,221
18,222
18,223
18,224
18,225
18,226
18,227
18,228
18,229
18,230
18,231
18,232
18,233
18,234
18,235
18,236
18,237
18,238
19,239
19,240
19,241
19,242
19,243
19,244
19,245
19,246
19,247
19,248
19,249
19,250
20,251
20,252
20,253
20,254
20,255
20,256
20,257
20,258
20,259
20,260
20,261
20,262
20,263
20,264
20,265
21,266
21,267
21,268
21,269
21,270
21,271
21,272
21,273
21,274
21,275
21,276
21,277
21,278
21,279
21,280
22,281
22,282
22,283
22,284
22,285
22,286
22,287
22,288
22,289
22,290
22,291
22,292
22,293
22,294
23,295
23,296
23,297
23,298
23,299
23,300
23,301
23,302
23,303
23,304
23,305
23,306
23,307
23,308
23,309
24,310
24,311
24,312
24,313
24,314
24,315
24,316
24,317
24,318
24,319
24,320
24,321
24,322
24,323
24,324
25,325
25,326
25,327
25,328
25,329
25,330
25,331
25,332
25,333
25,334
25,335
25,336
25,337
26,338
26,339
26,340
26,341
26,342
26,343
26,344
26,345
26,346
26,347
26,348
26,349
26,350
26,351
27,352
27,353
27,354
27,355
27,356
27,357
27,358
27,359
27,360
27,361
27,362
27,363
27,364
27,365
27,366
27,367
27,368
27,369
27,370
27,371
27,372
27,373
27,374
27,375
27,376
27,377
27,378
27,379
27,380
27,381
27,382
28,383
28,384
28,385
28,386
28,387
28,388
28,389
28,390
28,391
28,392
28,393
28,394
29,395
29,396
29,397
29,398
29,399
29,400
29,401
29,402
29,403
29,404
29,405
29,406
29,407
29,408
30,409
30,410
30,411
30,412
30,413
30,414
30,415
30,416
30,417
30,418
30,419
30,420
31,421
31,422
31,423
31,424
31,425
31,426
31,427
31,428
31,429
31,430
31,431
32,432
32,433
32,434
32,435
32,436
32,437
32,438
32,439
32,440
32,441
32,442
32,443
32,444
32,445
32,446
32,447
32,448
32,449
32,450
33,451
33,452
33,453
33,454
33,455
33,456
33,457
33,458
33,459
33,460
33,461
33,462
33,463
33,464
33,465
33,466
34,467
34,468
34,469
34,470
34,471
34,472
34,473
34,474
34,475
34,476
34,477
34,478
34,479
34,480
34,481
34,482
35,483
35,484
35,485
35,486
35,487
35,488
35,489
35,490
35,491
35,492
35,493
35,494
35,495
35,496
36,497
36,498
36,499
36,500
36,501
36,502
36,503
36,504
36,505
36,506
36,507
37,508
37,509
37,510
37,511
37,512
37,513
37,514
37,515
37,516
37,517
37,518
37,519
37,520
37,521
37,522
37,523
38,524
38,525
38,526
38,527
38,528
38,529
38,530
38,531
38,532
38,533
38,534
38,535
38,536
38,537
39,538
39,539
39,540
39,541
39,542
39,543
39,544
39,545
39,546
39,547
39,548
39,549
39,550
39,551
40,552
40,553
40,554
40,555
40,556
40,557
40,558
40,559
40,560
40,561
41,562
41,563
41,564
41,565
41,566
41,567
41,568
41,569
41,570
41,571
41,572
42,573
42,574
42,575
42,576
42,577
42,578
42,579
42,580
42,581
42,582
42,583
42,584
42,585
42,586
42,587
42,588
43,589
43,590
43,591
43,592
43,593
43,594
43,595
43,596
43,597
43,598
43,599
43,600
43,601
43,602
44,603
44,604
44,605
44,606
44,607
44,608
44,609
44,610
44,611
44,612
44,613
44,614
45,615
45,616
45,617
45,618
45,619
45,620
45,621
45,622
45,623
45,624
45,625
45,626
45,627
45,628
45,629
45,630
45,631
45,632
46,633
46,634
46,635
46,636
46,637
46,638
46,639
46,640
46,641
46,642
46,643
46,644
46,645
46,646
46,647
46,648
46,649
47,650
47,651
47,652
47,653
47,654
47,655
47,656
47,657
47,658
47,659
47,660
48,661
48,662
48,663
48,664
48,665
48,666
48,667
48,668
48,669
48,670
48,671
48,672
48,673
48,674
49,675
49,676
49,677
49,678
49,679
49,680
49,681
49,682
49,683
49,684
49,685
49,686
49,687
49,688
49,689
50,690
50,691
50,692
50,693
50,694
50,695
50,696
50,697
50,698
50,699
50,700
50,701
50,702
50,703
50,704
50,705
50,706
50,707
50,708
50,709
50,710
50,711
50,712
50,713
50,714
50,715
50,716
51,717
51,718
51,719
51,720
51,721
51,722
51,723
51,724
51,725
51,726
51,727
51,728
52,729
52,730
52,731
52,732
52,733
52,734
52,735
52,736
52,737
52,738
52,739
52,740
53,741
53,742
53,743
53,744
53,745
53,746
53,747
53,748
53,749
53,750
53,751
53,752
53,753
53,754
53,755
53,756
54,757
54,758
54,759
54,760
54,761
54,762
54,763
54,764
54,765
54,766
54,767
54,768
55,769
55,770
55,771
55,772
55,773
55,774
55,775
55,776
55,777
55,778
55,779
55,780
55,781
55,782
55,783
55,784
55,785
55,786
55,787
55,788
55,789
55,790
55,791
55,792
55,793
55,794
55,795
55,796
55,797
55,798
55,799
55,800
56,801
56,802
56,803
56,804
56,805
56,806
56,807
56,808
56,809
56,810
56,811
56,812
56,813
56,814
57,815
57,816
57,817
57,818
57,819
57,820
57,821
57,822
57,823
57,824
57,825
57,826
57,827
57,828
57,829
57,830
58,831
58,832
58,833
58,834
58,835
58,836
58,837
58,838
58,839
58,840
58,841
58,842
59,843
59,844
59,845
59,846
59,847
59,848
59,849
59,850
59,851
59,852
59,853
59,854
59,855
59,856
59,857
59,858
59,859
59,860
59,861
59,862
59,863
59,864
59,865
59,866
59,867
59,868
59,869
59,870
59,871
59,872
59,873
59,874
59,875
61,876
61,877
61,878
61,879
61,880
61,881
61,882
61,883
61,884
61,885
61,886
61,887
61,888
61,889
61,890
61,891
61,892
61,893
61,894
61,895
61,896
61,897
61,898
61,899
62,900
62,901
62,902
62,903
62,904
62,905
62,906
62,907
62,908
62,909
62,910
62,911
62,912
62,913
62,914
62,915
62,916
62,917
63,918
63,919
63,920
63,921
63,922
63,923
63,924
63,925
63,926
63,927
63,928
63,929
63,930
63,931
63,932
63,933
63,934
64,935
64,936
64,937
64,938
64,939
64,940
64,941
64,942
64,943
64,944
64,945
64,946
64,947
64,948
64,949
64,950
64,951
64,952
64,953
64,954
64,955
64,956
64,957
64,958
64,959
65,960
65,961
65,962
65,963
65,964
65,965
65,966
65,967
65,968
65,969
65,970
65,971
66,972
66,973
66,974
66,975
66,976
66,977
66,978
66,979
66,980
66,981
66,982
66,983
66,984
66,985
66,986
66,987
66,988
66,989
66,990
67,991
67,992
67,993
67,994
67,995
67,996
67,997
67,998
67,999
67,1000
67,1001
67,1002
68,1003
68,1004
68,1005
68,1006
68,1007
68,1008
68,1009
68,1010
68,1011
68,1012
68,1013
68,1014
69,1015
69,1016
69,1017
69,1018
69,1019
69,1020
69,1021
69,1022
69,1023
69,1024
69,1025
69,1026
69,1027
69,1028
71,1029
71,1030
71,1031
71,1032
71,1033
71,1034
71,1035
71,1036
71,1037
71,1038
71,1039
71,1040
72,1041
72,1042
72,1043
72,1044
72,1045
72,1046
72,1047
72,1048
72,1049
72,1050
72,1051
72,1052
72,1053
72,1054
73,1055
73,1056
73,1057
73,1058
73,1059
73,1060
73,1061
73,1062
73,1063
73,1064
73,1065
73,1066
73,1067
73,1068
73,1069
73,1070
73,1071
74,1072
74,1073
74,1074
74,1075
74,1076
74,1077
74,1078
74,1079
74,1080
74,1081
74,1082
74,1083
75,1084
75,1085
75,1086
75,1087
75,1088
75,1089
75,1090
75,1091
75,1092
75,1093
75,1094
76,1095
76,1096
76,1097
76,1098
76,1099
76,1100
76,1101
76,1102
76,1103
76,1104
76,1105
76,1106
77,1107
77,1108
77,1109
77,1110
77,1111
77,1112
77,1113
77,1114
77,1115
77,1116
77,1117
77,1118
77,1119
77,1120
78,1121
78,1122
78,1123
78,1124
78,1125
78,1126
78,1127
78,1128
78,1129
78,1130
78,1131
78,1132
78,1133
78,1134
79,1135
79,1136
79,1137
79,1138
79,1139
79,1140
79,1141
79,1142
79,1143
79,1144
79,1145
79,1146
79,1147
79,1148
80,1149
80,1150
80,1151
80,1152
80,1153
80,1154
80,1155
80,1156
80,1157
80,1158
80,1159
80,1160
80,1161
80,1162
80,1163
80,1164
80,1165
80,1166
80,1167
80,1168
80,1169
80,1170
80,1171
81,1172
81,1173
81,1174
81,1175
81,1176
81,1177
81,1178
81,1179
81,1180
81,1181
81,1182
81,1183
81,1184
81,1185
81,1186
81,1187
81,1188
81,1189
81,1190
81,1191
81,1192
82,1193
82,1194
82,1195
82,1196
82,1197
82,1198
82,1199
82,1200
82,1201
82,1202
82,1203
82,1204
82,1205
82,1206
82,1207
82,1208
82,1209
82,1210
82,1211
82,1212
83,1213
83,1214
83,1215
83,1216
83,1217
83,1218
83,1219
83,1220
83,1221
83,1222
83,1223
83,1224
83,1225
83,1226
83,1227
83,1228
83,1229
84,1230
84,1231
84,1232
84,1233
84,1234
84,1235
84,1236
84,1237
84,1238
84,1239
84,1240
84,1241
85,1242
85,1243
85,1244
85,1245
85,1246
85,1247
85,1248
85,1249
85,1250
85,1251
85,1252
85,1253
85,1254
85,1255
85,1256
85,1257
85,1258
85,1259
85,1260
85,1261
86,1262
86,1263
86,1264
86,1265
86,1266
86,1267
86,1268
86,1269
86,1270
86,1271
86,1272
86,1273
87,1274
87,1275
87,1276
87,1277
87,1278
87,1279
87,1280
87,1281
87,1282
87,1283
87,1284
88,1285
88,1286
88,1287
88,1288
88,1289
88,1290
88,1291
88,1292
88,1293
88,1294
89,1295
89,1296
89,1297
89,1298
89,1299
89,1300
89,1301
89,1302
89,1303
89,1304
89,1305
89,1306
89,1307
89,1308
89,1309
89,1310
90,1311
90,1312
90,1313
90,1314
90,1315
90,1316
90,1317
90,1318
90,1319
90,1320
90,1321
90,1322
90,1323
90,1324
90,1325
90,1326
91,1327
91,1328
91,1329
91,1330
91,1331
91,1332
91,1333
91,1334
91,1335
91,1336
91,1337
91,1338
91,1339
91,1340
92,1341
92,1342
92,1343
92,1344
92,1345
92,1346
92,1347
92,1348
92,1349
92,1350
92,1351
92,1352
93,1353
93,1354
93,1355
93,1356
93,1357
93,1358
93,1359
93,1360
93,1361
93,1362
93,1363
93,1364
93,1365
94,1366
94,1367
94,1368
94,1369
94,1370
94,1371
94,1372
94,1373
94,1374
94,1375
94,1376
94,1377
95,1378
95,1379
95,1380
95,1381
95,1382
95,1383
95,1384
95,1385
95,1386
95,1387
95,1388
95,1389
95,1390
95,1391
95,1392
95,1393
95,1394
96,1395
96,1396
96,1397
96,1398
96,1399
96,1400
96,1401
96,1402
96,1403
96,1404
96,1405
96,1406
96,1407
96,1408
96,1409
96,1410
96,1411
97,1412
97,1413
97,1414
97,1415
97,1416
97,1417
97,1418
97,1419
97,1420
97,1421
97,1422
97,1423
98,1424
98,1425
98,1426
98,1427
98,1428
98,1429
98,1430
98,1431
98,1432
98,1433
98,1434
98,1435
98,1436
98,1437
99,1438
99,1439
99,1440
99,1441
99,1442
99,1443
99,1444
99,1445
99,1446
99,1447
99,1448
99,1449
99,1450
99,1451
99,1452
99,1453
99,1454
99,1455
100,1456
100,1457
100,1458
100,1459
100,1460
100,1461
100,1462
100,1463
100,1464
100,1465
100,1466
100,1467
100,1468
101,1469
101,1470
101,1471
101,1472
101,1473
101,1474
101,1475
101,1476
101,1477
101,1478
101,1479
102,1480
102,1481
102,1482
102,1483
102,1484
102,1485
102,1486
102,1487
102,1488
102,1489
102,1490
102,1491
102,1492
102,1493
102,1494
103,1495
103,1496
103,1497
103,1498
103,1499
103,1500
103,1501
103,1502
103,1503
103,1504
103,1505
103,1506
103,1507
